epoch,train_loss,val_loss,val_pos_rmse,val_quat_angle_deg,epoch_time,current_lr,model_type,sequence_length,batch_size,learning_rate,lr_scheduler,optimizer,timestamp,tcn_layers,tcn_kernel_size,dropout_rate
57,0.01603861345494984,0.017911343900573865,0.025096153962585206,0.6394306361944437,2025-01-29 05:26:10,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
58,0.01601632258758267,0.017882766484426525,0.025061152593250546,0.6352987618854853,2025-01-29 05:26:21,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
59,0.016014321752903394,0.01786283466684258,0.02503781604070163,0.6412485250969888,2025-01-29 05:26:31,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
60,0.016030612326704146,0.017852104575782318,0.02501833545620521,0.6438883035699529,2025-01-29 05:26:42,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
61,0.016009386924163597,0.017848113794902462,0.02501804554402559,0.6459482138934997,2025-01-29 05:26:52,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
62,0.01599165306500409,0.017832592651944295,0.024993319050545557,0.6466012654552574,2025-01-29 05:27:02,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
63,0.016029704232677452,0.017819116755919618,0.024968774620748455,0.6530488219023749,2025-01-29 05:27:13,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
64,0.01601461840469799,0.01781862412707741,0.024967962039305684,0.6561099238308513,2025-01-29 05:27:23,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
65,0.015994694227602604,0.017813749813744537,0.024960878280667537,0.6616242748879182,2025-01-29 05:27:34,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
66,0.015971155168783918,0.017802420367647797,0.024940033308475735,0.6750846151098959,2025-01-29 05:27:45,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
67,0.01597311121706919,0.017802998193465695,0.024931661073047704,0.6769878436317431,2025-01-29 05:27:55,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
68,0.015971614968985682,0.01778082605331666,0.024905117453416975,0.6898884446522955,2025-01-29 05:28:06,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
69,0.015967078216760078,0.017770467570299615,0.02488630511291194,0.6950591325544756,2025-01-29 05:28:17,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
70,0.015988555236537826,0.017770392017299744,0.024887292584995818,0.6941857982283806,2025-01-29 05:28:28,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
71,0.01595768426607431,0.017757133271754065,0.024868140607897694,0.6948622824357009,2025-01-29 05:28:38,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
72,0.015956315971206784,0.017736878439731825,0.024848060629957484,0.7100161710795158,2025-01-29 05:28:49,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
73,0.015967317679953737,0.01773785472418852,0.02485017114516992,0.7032641765667068,2025-01-29 05:29:00,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
74,0.015936663665343076,0.017749803372502117,0.024863657897787345,0.6898870496649522,2025-01-29 05:29:11,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
75,0.015955864548933035,0.0177622982469457,0.024878025837109588,0.6901934514848348,2025-01-29 05:29:21,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
76,0.015940379013489114,0.017738101306528063,0.024853727759028915,0.7024653057523846,2025-01-29 05:29:31,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
77,0.015947392441775288,0.01775502872427003,0.024868030586471933,0.6989928245622917,2025-01-29 05:29:42,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
78,0.015926009578425892,0.017737926488794457,0.02485000687643357,0.6982825402442615,2025-01-29 05:29:53,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
79,0.015940737190781297,0.01773928180032314,0.024854105173817836,0.7062193961630984,2025-01-29 05:30:03,1e-05,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
80,0.015926262916622275,0.017734228905886586,0.0248484197173141,0.6950477056021137,2025-01-29 05:30:14,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
81,0.015918660985033323,0.01772578126341801,0.02483955535009923,0.7048979451242701,2025-01-29 05:30:25,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
82,0.015890095729335415,0.017725643282973807,0.024839992917238245,0.7097763740767314,2025-01-29 05:30:35,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
83,0.01593049295195492,0.01772577901399111,0.024841002879144158,0.7131980380933755,2025-01-29 05:30:46,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
84,0.015912084552891007,0.01771864314317686,0.024833915734201018,0.7167669089317715,2025-01-29 05:30:57,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
85,0.015897208011266206,0.017709516602455178,0.024824763945656306,0.7204940331611921,2025-01-29 05:31:08,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
86,0.015909247587310014,0.017706494746842882,0.024822379697910686,0.7234432372564817,2025-01-29 05:31:18,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
87,0.015906952268716582,0.017709614307006002,0.02482509205922696,0.7220988697261352,2025-01-29 05:31:29,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
88,0.01588152738958143,0.017707198898516872,0.02482238164486585,0.7236923076399167,2025-01-29 05:31:40,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
89,0.01590353411639382,0.017710909600996316,0.024827009350856653,0.723868649362672,2025-01-29 05:31:50,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
90,0.0159006910801797,0.01770931498852567,0.02482628444182986,0.7248674425344066,2025-01-29 05:32:01,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
91,0.015897624826672056,0.017707740058948363,0.024824345049451236,0.7260001822936124,2025-01-29 05:32:12,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
92,0.015889121300722585,0.017703604787614232,0.024821219490846473,0.7286014365372748,2025-01-29 05:32:22,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
93,0.015906636377160506,0.017703654051967242,0.024821161523887542,0.7279567973513777,2025-01-29 05:32:33,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
94,0.01589036931840294,0.017701725548929667,0.02481920930408198,0.7292460035364106,2025-01-29 05:32:44,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
95,0.015905148402799104,0.01770630886910971,0.024823617458006847,0.7306060990534717,2025-01-29 05:32:54,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
96,0.01588926966409994,0.017705120618463816,0.02482169480715421,0.731276595998553,2025-01-29 05:33:05,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
97,0.015912370391973726,0.017695568947482716,0.024812638766885192,0.7312959596920704,2025-01-29 05:33:15,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
98,0.015878919701989194,0.017692397343686772,0.024808769445539405,0.7332871259644198,2025-01-29 05:33:26,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
99,0.01589415547290317,0.01770007232188848,0.02481692199100548,0.7326454699369517,2025-01-29 05:33:37,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
100,0.01590450175345035,0.01769669847584669,0.02481250179230536,0.7326010446580973,2025-01-29 05:33:47,1.0000000000000002e-06,tcn,200,32,0.001,"['type=MultiStepLR', 'milestones=[20, 50, 80]', 'gamma=0.1']",Adam,20250129_051610,4,7,0.5
